   210/299     4.74G   0.01541  0.004223         0   0.01963        10       640     0.969     0.939    0.9732    0.9276   0.01943   0.01123         0
   211/299     4.74G   0.01529  0.004185         0   0.01948        12       640    0.9688     0.939    0.9732    0.9278   0.01944   0.01124         0
   212/299     4.74G   0.01558  0.004139         0   0.01972         4       640    0.9688     0.939    0.9732    0.9279   0.01945   0.01125         0
   213/299     4.74G    0.0152  0.004038         0   0.01924        14       640     0.969    0.9389    0.9732    0.9278   0.01946   0.01126         0
   214/299     4.74G   0.01515  0.004114         0   0.01926        11       640    0.9689     0.939    0.9732    0.9279   0.01948   0.01126         0
   215/299     4.74G   0.01518  0.004218         0    0.0194         8       640     0.969     0.939    0.9733    0.9278   0.01949   0.01127         0
   216/299     4.74G   0.01504  0.004178         0   0.01922        18       640     0.969     0.939    0.9732    0.9277   0.01951   0.01127         0
   217/299     4.74G   0.01493  0.004086         0   0.01902        17       640     0.969     0.939    0.9732    0.9271   0.01953   0.01128         0
   218/299     4.74G   0.01499  0.004181         0   0.01917         7       640     0.969     0.939    0.9732    0.9272   0.01954   0.01128         0
   219/299     4.74G   0.01519  0.004247         0   0.01943         8       640     0.969     0.939    0.9732    0.9277   0.01956   0.01129         0
   220/299     4.74G   0.01551   0.00418         0   0.01969        16       640    0.9689     0.939    0.9732    0.9273   0.01956   0.01129         0
   221/299     4.74G    0.0153  0.004047         0   0.01935        19       640    0.9689     0.939    0.9733    0.9278   0.01957   0.01129         0
   222/299     4.74G   0.01521  0.004176         0   0.01939         6       640     0.969     0.939    0.9732     0.928   0.01958    0.0113         0
   223/299     4.74G   0.01498  0.004081         0   0.01906         4       640     0.969    0.9389    0.9733    0.9281   0.01959    0.0113         0
